title,link,special_price,normal_price,User-Agent
Authentic Steam Crave Mini Robot Combo Mod - Black,https://www.cigabuy.com/authentic-steam-crave-mini-robot-combo-mod-black-p-21902.html,$27.26,$40.11 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Whirl T1 Pod Mod Kit - Camouflage,https://www.cigabuy.com/authentic-uwell-whirl-t1-pod-mod-kit-camouflage-p-21567.html,$20.44,$27.73 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Wotofo MDURA PRO Kit - King Kong Red,https://www.cigabuy.com/authentic-wotofo-mdura-pro-kit-king-kong-red-p-21102.html,$45.43,$81.26 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape Z50 Kit - Rainbow,https://www.cigabuy.com/authentic-geekvape-z50-kit-rainbow-p-21335.html,$40.89,$63.83 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Grey,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-grey-p-21886.html,$48.84,$89.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Vandyvape JACKAROO Mini Kit - Resin Red Agate,https://www.cigabuy.com/authentic-vandyvape-jackaroo-mini-kit-resin-red-agate-p-21778.html,$49.97,$70.36 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Red,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-red-p-21890.html,$48.84,$89.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Uwell Aeglos H2 Pod Kit - Dove Blue,https://www.cigabuy.com/authentic-uwell-aeglos-h2-pod-kit-dove-blue-p-21824.html,$27.26,$40.20 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Rainbow,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-rainbow-p-21889.html,$48.84,$89.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
Authentic Geekvape M100 Aegis Mini 2 Kit with Z Nano 2 Tank - Silver,https://www.cigabuy.com/authentic-geekvape-m100-aegis-mini-2-kit-with-z-nano-2-tank-silver-p-21888.html,$48.84,$89.27 ,"b'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.51 Safari/537.36'"
